code,name
A19N,Airbus A319neo
A20N,Airbus A320neo
A21N,Airbus A321neo
A306,Airbus A300-600
A310,Airbus A310
A318,Airbus A318
A319,Airbus A319
A320,Airbus A320
A321,Airbus A321
A332,Airbus A330-200
A333,Airbus A330-300
A338,Airbus A330-800neo
A339,Airbus A330-900neo
A342,Airbus A340-200
A343,Airbus A340-300
A345,Airbus A340-500
A346,Airbus A340-600
A359,Airbus A350-900
A35K,Airbus A350-1000
A388,Airbus A380-800
B37M,Boeing 737 MAX 7
B38M,Boeing 737 MAX 8
B39M,Boeing 737 MAX 9
B3XM,Boeing 737 MAX 10
B712,Boeing 717-200
B722,Boeing 727-200
B732,Boeing 737-200
B733,Boeing 737-300
B734,Boeing 737-400
B735,Boeing 737-500
B736,Boeing 737-600
B737,Boeing 737-700
B738,Boeing 737-800
B739,Boeing 737-900
B741,Boeing 747-100
B742,Boeing 747-200
B743,Boeing 747-300
B744,Boeing 747-400
B748,Boeing 747-8
B752,Boeing 757-200
B753,Boeing 757-300
B762,Boeing 767-200
B763,Boeing 767-300
B764,Boeing 767-400
B772,Boeing 777-200
B773,Boeing 777-300
B77L,Boeing 777-200LR
B77W,Boeing 777-300ER
B778,Boeing 777-8
B779,Boeing 777-9
B788,Boeing 787-8 Dreamliner
B789,Boeing 787-9 Dreamliner
B78X,Boeing 787-10 Dreamliner
BCS1,Airbus A220-100
BCS3,Airbus A220-300
CRJ2,Bombardier CRJ-200
CRJ7,Bombardier CRJ-700
CRJ9,Bombardier CRJ-900
CRJX,Bombardier CRJ-1000
E135,Embraer ERJ-135
E145,Embraer ERJ-145
E170,Embraer E170
E175,Embraer E175
E190,Embraer E190
E195,Embraer E195
E290,Embraer E190-E2
E295,Embraer E195-E2
E75L,Embraer E175 (long wing)
E75S,Embraer E175 (short wing)
AT43,ATR 42-300
AT45,ATR 42-500
AT46,ATR 42-600
AT72,ATR 72
AT75,ATR 72-500
AT76,ATR 72-600
DH8A,De Havilland Dash 8-100
DH8B,De Havilland Dash 8-200
DH8C,De Havilland Dash 8-300
DH8D,De Havilland Dash 8-400
SF34,Saab 340
SB20,Saab 2000
F100,Fokker 100
F70,Fokker 70
MD11,McDonnell Douglas MD-11
MD82,McDonnell Douglas MD-82
MD83,McDonnell Douglas MD-83
MD88,McDonnell Douglas MD-88
MD90,McDonnell Douglas MD-90
DC10,McDonnell Douglas DC-10
A748,Hawker Siddeley 748
RJ85,Avro RJ85
RJ1H,Avro RJ100
B190,Beechcraft 1900
BE20,Beechcraft King Air 200
BE30,Beechcraft King Air 300
BE35,Beechcraft Bonanza 35
BE36,Beechcraft Bonanza 36
BE58,Beechcraft Baron 58
BE9L,Beechcraft King Air 90
C25A,Cessna Citation CJ2
C25B,Cessna Citation CJ3
C25C,Cessna Citation CJ4
C172,Cessna 172 Skyhawk
C182,Cessna 182 Skylane
C206,Cessna 206 Stationair
C208,Cessna 208 Caravan
C210,Cessna 210 Centurion
C310,Cessna 310
C402,Cessna 402
C421,Cessna 421
C510,Cessna Citation Mustang
C525,Cessna CitationJet
C550,Cessna Citation II
C560,Cessna Citation V
C56X,Cessna Citation Excel
C680,Cessna Citation Sovereign
C68A,Cessna Citation Latitude
C700,Cessna Citation Longitude
C750,Cessna Citation X
CL30,Bombardier Challenger 300
CL35,Bombardier Challenger 350
CL60,Bombardier Challenger 600
GL5T,Bombardier Global 5000
GLEX,Bombardier Global Express
GLF4,Gulfstream IV
GLF5,Gulfstream V
GLF6,Gulfstream G650
G280,Gulfstream G280
GA5C,Gulfstream G500
GA6C,Gulfstream G600
E50P,Embraer Phenom 100
E55P,Embraer Phenom 300
E545,Embraer Legacy 450
E550,Embraer Legacy 500
F2TH,Dassault Falcon 2000
F900,Dassault Falcon 900
FA7X,Dassault Falcon 7X
FA8X,Dassault Falcon 8X
LJ35,Learjet 35
LJ45,Learjet 45
LJ60,Learjet 60
LJ75,Learjet 75
H25B,Hawker 800
HDJT,Honda HA-420 HondaJet
PC12,Pilatus PC-12
PC24,Pilatus PC-24
TBM7,TBM 700
TBM8,TBM 850
TBM9,TBM 900/930/940
SR20,Cirrus SR20
SR22,Cirrus SR22
SF50,Cirrus Vision Jet
DA40,Diamond DA40
DA42,Diamond DA42 Twin Star
DA62,Diamond DA62
P28A,Piper Cherokee/Archer
P28B,Piper Turbo Arrow
P46T,Piper Malibu Meridian
PA31,Piper Navajo
PA34,Piper Seneca
PA44,Piper Seminole
PA46,Piper Malibu
M20P,Mooney M20
M600,Piper M600
KODI,Quest Kodiak
DHC6,De Havilland Twin Otter
DHC2,De Havilland Beaver
DHC3,De Havilland Otter
B06,Bell 206 JetRanger
B407,Bell 407
B429,Bell 429
EC30,Airbus EC130
EC35,Airbus H135
EC45,Airbus H145
AS50,Airbus AS350 AStar
S76,Sikorsky S-76
R44,Robinson R44
R66,Robinson R66
H60,Sikorsky Black Hawk
UH1,Bell UH-1 Huey
CH47,Boeing CH-47 Chinook
C130,Lockheed C-130 Hercules
C17,Boeing C-17 Globemaster III
C5M,Lockheed C-5M Super Galaxy
K35R,Boeing KC-135 Stratotanker
KC46,Boeing KC-46 Pegasus
P8,Boeing P-8 Poseidon
E3CF,Boeing E-3 Sentry
F16,General Dynamics F-16
F18S,Boeing F/A-18 Super Hornet
F35,Lockheed Martin F-35
A10,Fairchild A-10 Thunderbolt II
T38,Northrop T-38 Talon
TEX2,Beechcraft T-6 Texan II
V22,Bell Boeing V-22 Osprey
GLID,Glider
ULAC,Ultralight
BALL,Balloon
DRON,Drone / UAS
